,Momentum,Volatilite,ESG_score,Regime_prob,Beta_1an,PE,ROE,Avg_Volume,ADX_14
AC.PA,0.03973653150671286,0.2832778612306225,,0.9624870248069131,1.1721661476357952,20.821428,0.13324,843551.6135615536,23.408242955154254
AI.PA,0.03449795363336983,0.1765234111496353,,0.925431193294582,0.7933113507415658,27.75,0.14047,853842.4022383147,22.427147072898386
AIR.PA,0.26860871677901255,0.27752773841869904,,0.22602492719849016,1.219734803409875,29.812206,0.23055,1507251.7518104017,23.912348845651493
MT.AS,0.5810618691870015,0.37817919853917387,,0.8257148161635968,1.4457485246070325,12.737201,0.04721,4345468.251481238,25.244634569757135
CS.PA,0.20816989342547587,0.2126116221659551,,0.965260539015831,0.9448712465308962,11.729484,0.12968001,5215912.114549045,22.56775527963809
BNP.PA,0.42538378515548647,0.28117822121488967,,0.9500322027782708,1.2337875750439942,7.853556,0.09329,3533016.649769585,22.773714586797084
EN.PA,0.6023681208339102,0.20598073912015918,,0.9583681210071573,0.6612876978941045,15.810909,0.08397,993308.1428571428,33.36719008929817
BVI.PA,-0.07488870450968965,0.19199945473486213,,0.5401268676434123,0.6574447941888415,18.248274,0.42836,782628.448321264,28.969309584101207
CAP.PA,-0.09081172963313855,0.31443015871317576,,0.8863714574179838,1.1471471745966486,15.529876,0.14318,412598.9861751152,19.920402701251106
CA.PA,0.046494343032328356,0.22264134407202352,,0.9589234886311748,0.34240109279424724,28.75532,0.03641,2619591.262014483,13.748445548626274
ACA.PA,0.3917538245797887,0.2043466354850091,,0.9198759597402261,0.795518440443732,7.0166664,,6408537.325213957,15.5023813706446
BN.PA,0.21429517446999857,0.18302059847787877,,0.941954790326803,0.16584062453926998,26.912281,0.117130004,1443565.5576036866,20.723237531627035
DSY.PA,-0.3035498872754556,0.28846866673610466,,0.8438468708603261,0.961598394810916,26.91954,0.14241,1426955.7221856485,40.71055011855042
EDEN.PA,-0.3737821691086486,0.41042852769907306,,0.2924316462777344,0.7783821765725384,8.84058,,557358.2330480579,37.77612784558202
ENGI.PA,0.5380036643083261,0.1768326639031588,,0.9712492022978058,0.19652884007652976,10.650247,0.15719,5770494.693219223,50.51289181839023
EL.PA,0.3590986695101972,0.27876731065605415,,0.9422046399228055,0.9869751738639025,59.573643,0.064380005,544505.7439104674,20.42663881009761
ERF.PA,0.28789353256939143,0.2771627799750701,,0.9633344922707393,0.5961616837844573,26.14978,0.086789995,373435.2955892034,36.067017316052635
RMS.PA,-0.021821960512642846,0.26125953423573395,,0.7450621020035337,1.1483671053279556,49.56705,0.28546,62251.37524687294,11.208016158616317
KER.PA,0.3509312366143005,0.4255072369013588,,0.8100758947382998,1.3200538240221205,49.662735,0.051659998,242975.37590520078,19.597969522864435
OR.PA,0.12594486120930592,0.2483724288644875,,0.8282895394105064,0.8761518522939129,32.58107,0.2016,400839.3324555629,21.531361956099897
LR.PA,0.36868097077003004,0.29611404121145013,,0.9459956488778389,1.060223406334311,27.68319,0.17513001,507970.0078999342,33.42506676238348
MC.PA,0.06936537041628976,0.33256815723027905,,0.9369623806169043,1.319979410916674,28.944496,0.16961001,456981.90915075707,31.45813214392732
ML.PA,-0.06809827657916323,0.23277263755389022,,0.9617817429925941,0.7968507980798257,2.7607422,,1698930.4562211982,23.446144268438523
ORA.PA,0.5418591186607891,0.1618496355754924,,0.6211663504523398,0.022119310363242172,41.38235,0.04962,6926424.003949967,16.82614080526835
RI.PA,-0.2409949464123129,0.2718033646330719,,0.410076458238417,0.8014580631652063,11.965892,0.10138,468870.1869651086,25.18026868129391
PUB.PA,-0.14327132832867895,0.2639146717303139,,0.9367647767692502,0.879657657108705,12.367408,0.17701,665663.0164581962,12.280441934148522
RNO.PA,-0.14759019038599397,0.33706911720565846,,0.9581820653877854,0.888751482587856,,-0.44794998,1483946.6958525346,11.63498002494367
SAF.PA,0.3849616346533078,0.2631001242476384,,0.7416167105042129,1.1688412941596678,28.092934,0.34745997,752240.4963791969,24.13219524236663
SGO.PA,-0.01657765443821735,0.3286728232517515,,0.8828628530119027,1.6238092668928554,15.067616,0.11958,1251126.0065832785,20.513801830864594
SAN.PA,-0.02021267180341524,0.2537349099524924,,0.9901214313082478,0.7968168508782862,16.44084,0.08835,1954869.119815668,12.991803293412715
SU.PA,-0.05736867069718732,0.34587758048568074,,0.95584967661214,1.4643387844322857,28.602484,0.15965,970089.6181698486,24.15171730202735
GLE.PA,1.4668867364470448,0.3498723554325654,,0.9526413305531544,1.322609830031794,10.903572,0.08477,4153687.9756418695,14.194918341146892
STLAP.PA,-0.20782259986343932,0.44316150549954886,,0.9981312652481603,1.692802631707667,,-0.030580001,2834935.616853193,11.189774494912012
STMPA.PA,-0.176761544434908,0.4628614921164851,,0.9569032908304145,1.2858718448618578,40.34,0.03002,2468392.055299539,29.97933217343015
TEP.PA,-0.3134891393055368,0.43604174427535636,,0.9619458794661546,1.1970184615633817,7.095415,0.11733,203125.43712969057,17.698197136332183
HO.PA,0.5820949878287134,0.34851120470688757,,0.9177586753180278,0.6455999940208456,43.668636,0.13465,321183.0750493746,27.608736944793677
TTE.PA,0.11078991291213014,0.207211252422103,,0.9807092241365137,0.6950757188675125,10.58427,0.1223,5729903.96642528,13.650193437356481
URW.PA,0.23596653715241755,0.21954730629136363,,0.9749811125965084,0.7000283228278904,17.089888,0.048860002,377426.24296296295,9.441846306447388
VIE.PA,0.08537278185289376,0.19520889621054602,,0.9794864330467852,0.7133086934026603,18.941559,0.11637,1875010.0974325214,10.949901344849167
DG.PA,0.2573053000469745,0.1983936326815261,,0.9462508064015178,0.8660060476063622,14.663055,0.15713,1062361.7531270573,14.772525680031345
